BV_NUM,STATE,ZIP,OBAL,ORATE,PBAL,RATE,P_I,ACLAS,PURP,PROP_MM,,SECTION2,NOTE_DT,ODATE,FPDATE,MDATE,PDATE,NPDATE,ASOFDT,BV_NUM,OCCLAS,FICO,FICO_DT,OAPPR,OSLSPRI,OLTV,CLTV,BPOUSED,BPO,MONTHDEL,TDEL30,TDEL60,TDEL90,PAYHIST,LOAN_TY,MIFLAG,MI_PERCT,,,MIGROUP,PREPAY,BV_NUM,PAYFREQ,INTCOLCD,IO_FLAG,IO_TERM,REMAININGIO1,OTERM,OATERM,REMTERM1,AGE1,RETAINED,SVC_FEE,DOC_TYPE,ADJTYPE,INDEXGR,,BALLOON,RADJPER,PADJPER,,FRCDT,,FPCDT,BV_NUM,MTR_PMT1,LOCKOUT,PRODUCT,FPCAP,PCAP,MARGIN,MINRATE,MAXRATE,CONV,NEG_AM,NEGAMPCT,NEGAMPCTCUR,PAYMENTCAP,RECAST,GROUP,REPGR,Junior Lien Amount,SSECONDSP,Combined LTV
323123,FL,33433,207000.00,8.025,204300.94,8.025,1522.50,A,P,Condo,,SUBPRIME,9/14/2005,9/14/2005,11/1/2005,10/1/2035,10/1/2006,11/1/2006,11/7/2006,323123,O,649,11/8/2006,280000.00,276000.00,75.000,74.020,0,259000.00,0,7,3,1,001101232100,UCONV,N,0.000,,,,Y,323123,0,0,0,0,0,360,360,347,13,0.000,0.500,STA,ARM,6 MO LIBOR,,FULLY AMORTIZING,6,6,,10/1/2008,,11/1/2008,323123,24,36,36/6,3.000,1.000,6.950,8.025,14.025,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME ARM LIBOR LONG RESET,13800.0000,Y,80.00
333143,NY,13357,89900.00,7.000,89826.31,7.000,598.11,F,P,Single Family,,SUBPRIME,9/18/2006,9/18/2006,10/18/2006,9/18/2036,10/18/2006,11/18/2006,11/7/2006,333143,O,596,11/7/2006,95000.00,94900.00,94.730,94.650,0,95000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,333143,0,0,0,0,0,360,360,358,2,0.000,0.500,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,333143,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 324 WAC less than or equal to 9.5,0.0000,N,94.73
267416,CO,80026,142100.00,5.250,116781.73,5.250,1142.32,F,E,Single Family,,A/ALT A,3/25/2003,3/31/2003,5/1/2003,4/1/2018,10/1/2006,11/1/2006,11/7/2006,267416,O,760,11/8/2006,209000.00,0.00,67.990,55.880,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,267416,0,0,0,0,0,180,180,137,43,0.000,0.375,FD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,267416,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A FIXED WAM less than 180 WAC less than or equal to 9.5,0.0000,N,67.99
316640,CT,06451,117120.00,9.875,116510.01,9.875,1017.01,A,E,Single Family,,SUBPRIME,11/30/2005,12/5/2005,1/1/2006,12/1/2035,10/1/2006,11/1/2006,11/7/2006,316640,O,574,11/1/2006,213000.00,0.00,54.990,54.700,0,192000.00,0,8,5,3,001234321100,UCONV,N,0.000,,,,Y,316640,0,0,0,0,0,360,360,349,11,0.000,0.500,FD,ARM,6 MO LIBOR,,FULLY AMORTIZING,6,6,,12/1/2007,,1/1/2008,316640,14,24,24/6,3.000,1.000,7.250,7.250,15.875,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP SUBPRIME ARM LIBOR LONG RESET,0.0000,N,54.99
333137,NY,13304,180405.00,6.000,180225.41,6.000,1081.62,F,P,Single Family,,A/ALT A,9/26/2006,9/26/2006,10/26/2006,9/26/2036,10/26/2006,11/26/2006,11/7/2006,333137,O,645,9/7/2006,190000.00,189900.00,95.000,94.910,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,333137,0,0,0,0,0,360,360,358,2,0.000,0.500,STA,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,333137,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP A/ALT A FIXED WAM greater than or equal to 324 WAC less than or equal to 9.5,0.0000,N,95.00
119259,TX,79005,80000.00,8.000,39679.01,8.000,764.53,F,P,Single Family,,SUBPRIME,2/25/1997,2/25/1997,3/25/1997,2/25/2012,9/25/2006,10/25/2006,11/7/2006,119259,O,599,11/7/2006,109000.00,100000.00,80.000,39.680,0,70000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,119259,0,0,0,0,0,180,180,63,117,0.000,0.850,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,119259,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM less than 180 WAC less than or equal to 9.5,0.0000,N,80.00
234632,TX,75007,123400.00,7.875,99957.53,7.875,901.15,A,P,Single Family,,A/ALT A,8/8/1988,8/8/1988,7/1/2003,6/1/2023,10/1/2006,11/1/2006,11/7/2006,234632,O,652,10/24/2006,128238.00,0.00,96.230,77.950,0,0.00,0,1,0,0,010000000000,UCONV,N,0.000,,,,N,234632,0,0,0,0,0,240,240,199,41,0.000,0.375,FD,ARM,1 YR CMT,,FULLY AMORTIZING,12,12,,10/1/2001,,11/1/2001,234632,12,157,157/12,2.000,2.000,2.750,2.750,13.875,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A ARM CMT SHORT RESET,0.0000,N,96.23
254361,NJ,07423,343000.00,7.875,274581.22,7.875,2486.99,F,P,Single Family,,SUBPRIME,6/24/1993,6/24/1993,8/1/1993,7/1/2023,9/1/2006,10/1/2006,10/1/2006,254361,O,647,10/30/2006,500000.00,0.00,68.600,54.920,0,0.00,0,11,10,9,012345678999,UCONV,N,0.000,,,,N,254361,0,0,0,0,0,360,360,200,160,0.000,0.250,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,254361,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 180 WAC less than or equal to 9.5,0.0000,N,68.60
231560,TX,78232,127300.00,11.750,20544.56,6.625,297.53,A,P,Single Family,,A/ALT A,4/16/1984,4/16/1984,6/1/1984,5/1/2014,11/1/2006,12/1/2006,11/7/2006,231560,O,756,11/6/2006,0.00,134000.00,95.000,15.330,0,0.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,231560,0,0,0,0,0,360,360,90,270,0.000,0.750,FD,ARM,3 YR CMT,,FULLY AMORTIZING,36,36,,5/1/1987,,6/1/1987,231560,19,36,36/36,1.000,0.000,2.750,2.750,0.000,0,N,0.000,0.000,0.000,0,2,2-STRUCTURE GROUP A/ALT A ARM CMT LONG RESET,0.0000,N,95.00
222571,TX,78242,58315.70,8.900,56123.20,8.900,465.03,F,P,Single Family,,SUBPRIME,4/9/2002,4/9/2002,5/9/2002,4/9/2032,8/9/2006,9/9/2006,10/1/2006,222571,O,613,10/26/2006,0.00,61900.00,94.210,90.670,0,53000.00,0,0,0,0,000000000000,UCONV,N,0.000,,,,N,222571,0,0,0,0,0,360,360,305,55,0.000,0.500,LTD,FIXED,FIXED RATE,,FULLY AMORTIZING,0,0,0,,0,,222571,0,0,0/0,0.000,0.000,0.000,0.000,0.000,0,N,0.000,0.000,0.000,0,1,1-STRUCTURE GROUP SUBPRIME FIXED WAM greater than or equal to 275 WAC less than or equal to 9.5,0.0000,N,94.21
